City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,9.69,54,100,8.91,NZ,1690398064
1,puerto ayora,-0.7393,-90.3518,29.98,87,70,4.92,EC,1690398140
2,udachny,66.4167,112.4,16.92,77,100,2.48,RU,1690398143
3,port elizabeth,-33.918,25.5701,16.16,67,0,3.6,ZA,1690398016
4,afaahiti,-17.75,-149.2833,24.93,86,48,2.77,PF,1690398113
5,la passe,45.5549,-0.8967,21.13,76,7,3.83,FR,1690398143
6,namibe,-15.1961,12.1522,17.59,83,100,2.88,AO,1690398144
7,goz beida,13.95,20.55,28.82,57,65,8.07,TD,1690398144
8,edinburgh of the seven seas,-37.0676,-12.3116,10.32,57,66,8.33,SH,1690398144
9,port-aux-francais,-49.35,70.2167,5.16,80,99,18.61,TF,1690398059
10,puerto natales,-51.7236,-72.4875,2.46,86,99,1.67,CL,1690398068
11,grytviken,-54.2811,-36.5092,-0.77,97,100,3.98,GS,1690398144
12,singkil,-7.9855,111.4161,19.73,94,40,2.28,ID,1690397780
13,longyearbyen,78.2186,15.6401,12.91,62,20,6.17,SJ,1690398069
14,adamstown,-25.066,-130.1015,19.85,69,100,8.71,PN,1690398144
15,blackmans bay,-43.0167,147.3167,9.83,84,100,2.5,AU,1690398145
16,sangamner,19.5667,74.2167,24.0,90,100,4.75,IN,1690398145
17,yellowknife,62.456,-114.3525,24.29,35,40,8.49,CA,1690398114
18,badger,64.8,-147.5333,25.07,72,75,2.06,US,1690398145
19,camana,-16.6228,-72.7111,18.6,76,85,3.98,PE,1690398145
20,bethel,41.3712,-73.414,31.61,61,1,1.79,US,1690398145
21,pacific grove,36.6177,-121.9166,24.56,91,100,3.13,US,1690398145
22,dadeldhura,29.2984,80.5806,16.95,95,100,0.92,NP,1690398146
23,albany,42.6001,-73.9662,30.65,59,16,0.89,US,1690397867
24,bilibino,68.0546,166.4372,9.86,75,12,1.48,RU,1690398146
25,richards bay,-28.783,32.0377,18.88,71,0,8.18,ZA,1690398146
26,chadan,51.2833,91.5833,13.83,67,100,1.34,RU,1690398146
27,kavaratti,10.5669,72.642,27.98,75,100,6.54,IN,1690398146
28,chasong,41.4608,126.6414,20.23,99,78,1.35,KP,1690398147
29,college,64.8569,-147.8028,23.59,73,75,2.06,US,1690398039
30,tadine,-21.55,167.8833,19.45,64,99,7.85,NC,1690398147
31,nadi,-17.8,177.4167,20.0,94,75,3.09,FJ,1690398108
32,lubango,-14.9172,13.4925,18.92,32,84,2.06,AO,1690398147
33,qaqortoq,60.7167,-46.0333,7.66,79,100,1.93,GL,1690398147
34,saipan,15.1355,145.701,27.03,100,100,3.58,MP,1690398148
35,lieksa,63.3167,30.0167,16.03,80,86,1.41,FI,1690398148
36,playa blanca,28.8643,-13.8281,26.11,77,0,8.32,ES,1690398148
37,bourg-saint-maurice,45.6172,6.769,12.82,83,2,1.01,FR,1690398149
38,carnarvon,-24.8667,113.6333,16.13,59,33,7.81,AU,1690398149
39,haiku-pauwela,20.9219,-156.3051,27.32,70,41,3.13,US,1690398149
40,tiksi,71.6872,128.8694,4.79,84,22,2.4,RU,1690398149
41,saudarkrokur,65.7461,-19.6394,11.11,77,7,3.74,IS,1690398149
42,saltillo,25.4167,-101.0,29.6,33,0,3.09,MX,1690398064
43,jamestown,42.097,-79.2353,30.01,52,20,6.17,US,1690398045
44,fale old settlement,-9.3852,-171.2468,28.27,72,12,8.67,TK,1690398150
45,keflavik,64.0049,-22.5624,14.24,67,75,3.6,IS,1690398151
46,port augusta,-32.5,137.7667,9.16,59,3,1.88,AU,1690398152
47,yazykovo,55.2199,56.1353,18.04,72,66,1.03,RU,1690398153
48,leh,34.1667,77.5833,19.25,45,34,2.41,IN,1690397750
49,yuzhno-kurilsk,44.0306,145.8556,18.12,96,96,0.76,RU,1690398153
50,bathsheba,13.2167,-59.5167,30.58,83,40,8.23,BB,1690397783
51,polyarnyy,69.1989,33.4478,10.48,97,100,2.52,RU,1690398154
52,talnakh,69.4865,88.3972,19.56,64,9,1.94,RU,1690398078
53,margaret river,-33.95,115.0667,13.0,71,100,8.84,AU,1690398075
54,papatowai,-46.5619,169.4708,5.18,92,100,12.34,NZ,1690398155
55,greymouth,-42.4667,171.2,8.69,71,95,8.98,NZ,1690398155
56,san andres,12.5847,-81.7006,31.01,70,40,7.2,CO,1690398155
57,whitehorse,60.7161,-135.0538,16.43,77,75,1.03,CA,1690397712
58,tlaltenango de sanchez roman,21.7833,-103.3167,26.01,48,77,1.69,MX,1690398156
59,lionel town,17.8101,-77.2406,32.94,57,100,3.78,JM,1690398156
60,shakawe,-18.3667,21.85,18.17,33,0,1.96,BW,1690398156
61,kaa-khem,51.6833,94.7333,13.41,80,0,1.94,RU,1690398156
62,agadez,19.75,10.25,35.58,8,0,6.34,NE,1690398156
63,ust'-barguzin,53.45,108.9833,12.86,98,100,0.85,RU,1690398157
64,susuman,62.7833,148.1667,10.79,89,100,2.09,RU,1690398157
65,thompson,55.7435,-97.8558,15.09,67,75,4.12,CA,1690398157
66,atafu village,-8.5421,-172.5159,28.19,74,20,8.8,TK,1690398150
67,tocopilla,-22.092,-70.1979,19.1,71,17,1.43,CL,1690398157
68,urengoy,65.9667,78.3667,20.24,63,100,2.78,RU,1690398158
69,tash-kumyr,41.3461,72.2171,28.48,32,4,3.88,KG,1690398158
70,luanda,-8.8368,13.2343,22.0,83,20,4.12,AO,1690398045
71,oriximina,-1.7656,-55.8661,34.86,35,2,3.1,BR,1690398158
72,wailua homesteads,22.0669,-159.378,26.24,86,72,1.34,US,1690398158
73,riyadh,24.6877,46.7219,39.08,10,32,4.37,SA,1690397963
74,inhambane,-23.865,35.3833,18.99,88,75,0.0,MZ,1690398158
75,lihue,21.9789,-159.3672,26.58,81,70,5.97,US,1690398158
76,ilulissat,69.2167,-51.1,16.01,36,20,4.63,GL,1690398158
77,fort bragg,35.139,-79.006,37.03,46,75,2.57,US,1690398151
78,hadibu,12.65,54.0333,25.7,73,7,9.38,YE,1690398062
79,iqaluit,63.7506,-68.5145,9.85,71,75,1.54,CA,1690398159
80,chonchi,-42.6128,-73.8092,10.07,82,100,1.23,CL,1690398159
81,pisco,-13.7,-76.2167,22.03,60,100,6.17,PE,1690397773
82,shache,38.4167,77.2406,28.57,28,35,1.55,CN,1690398164
83,west island,-12.1568,96.8225,23.99,88,40,8.23,CC,1690398164
84,hawaiian paradise park,19.5933,-154.9731,25.96,95,88,0.89,US,1690398164
85,urumqi,43.801,87.6005,29.53,19,0,2.0,CN,1690398016
86,nhamunda,-2.1861,-56.7131,37.82,25,7,1.99,BR,1690398164
87,san patricio,28.017,-97.5169,37.97,37,0,7.97,US,1690398079
88,port mathurin,-19.6833,63.4167,23.77,79,24,6.79,MU,1690398164
89,yanchep,-31.55,115.6833,12.29,77,97,7.16,AU,1690398165
90,punta arenas,-53.15,-70.9167,1.79,76,100,6.34,CL,1690398027
91,bridgnorth,52.5366,-2.4203,16.03,99,100,5.75,GB,1690398165
92,bredasdorp,-34.5322,20.0403,10.19,91,99,2.87,ZA,1690398165
93,demba,-5.51,22.2667,26.47,26,26,1.46,CD,1690398165
94,adler,43.43,39.92,24.09,83,0,2.0,RU,1690398165
95,morehead city,34.7229,-76.726,34.0,76,0,3.6,US,1690398165
96,rajakhera,26.8961,78.1714,30.13,74,100,2.62,IN,1690398165
97,canmore,51.0834,-115.3521,18.23,34,5,4.12,CA,1690398069
98,lompoc,34.6391,-120.4579,34.45,68,100,1.34,US,1690398127
99,ushuaia,-54.8,-68.3,1.81,64,40,5.66,AR,1690397727
100,georgetown,5.4112,100.3354,27.96,92,20,1.54,MY,1690397888
101,mocorito,25.4833,-107.9167,34.0,48,99,1.77,MX,1690398166
102,stanley,54.868,-1.6985,17.25,71,0,2.06,GB,1690398083
103,melfort,52.8667,-104.6177,16.07,77,100,6.17,CA,1690398049
104,rongelap,11.1635,166.8941,27.78,82,100,7.88,MH,1690398166
105,arteche,12.2645,125.4048,26.28,80,100,3.2,PH,1690397783
106,vygonichi,53.0985,34.0673,17.14,95,31,2.72,RU,1690398166
107,ribeira grande,38.5167,-28.7,24.87,78,20,4.12,PT,1690398167
108,baotou,40.6522,109.8222,24.84,51,67,1.98,CN,1690398167
109,kununurra,-15.7667,128.7333,9.99,87,5,1.54,AU,1690397898
110,oranjemund,-28.55,16.4333,12.88,78,0,2.0,NA,1690398167
111,invercargill,-46.4,168.35,5.34,77,100,6.5,NZ,1690398067
112,ashgabat,37.95,58.3833,31.92,45,20,5.14,TM,1690397642
113,carutapera,-1.195,-46.02,27.85,78,6,4.25,BR,1690397777
114,kone,-21.0595,164.8658,14.41,74,2,2.0,NC,1690398167
115,esil,51.9556,66.4042,16.38,88,0,0.53,KZ,1690398167
116,nogliki,51.8333,143.1667,16.14,99,100,4.58,RU,1690398167
117,bernardo de irigoyen,-26.2552,-53.6458,19.55,59,100,1.0,AR,1690398053
118,manaure,11.7751,-72.4445,29.35,72,38,7.7,CO,1690398168
119,opuwo,-18.0607,13.84,19.27,28,0,1.2,NA,1690398168
120,tolanaro,-25.0319,46.9987,19.04,68,40,5.66,MG,1690398168
121,emmett,43.8735,-116.4993,30.67,31,0,0.45,US,1690397998
122,deir ez-zor,35.3359,40.1408,36.05,14,0,2.41,SY,1690398168
123,port lincoln,-34.7333,135.8667,13.17,53,0,6.75,AU,1690398168
124,chernyshevskiy,63.0128,112.4714,12.59,94,6,2.42,RU,1690398169
125,bidart,43.4376,-1.5913,23.25,72,20,2.57,FR,1690398169
126,prince rupert,54.3161,-130.3201,16.05,86,100,1.54,CA,1690398169
127,ghat,24.9647,10.1728,35.84,9,0,4.16,LY,1690398169
128,bouarfa,32.53,-1.95,37.07,10,90,3.12,MA,1690398169
129,isafjordur,66.0755,-23.124,10.02,66,75,5.66,IS,1690398170
130,avarua,-21.2078,-159.775,20.03,94,100,1.03,CK,1690398170
131,katabu,-4.9333,122.5167,22.12,89,81,2.01,ID,1690398170
132,sade,11.3595,10.6732,30.35,43,82,0.95,NG,1690398170
133,uzgen,40.7699,73.3007,25.16,30,19,3.27,KG,1690398171
134,aasiaat,68.7098,-52.8699,3.66,88,13,4.14,GL,1690398171
135,cabo san lucas,22.8909,-109.9124,35.34,69,66,2.68,MX,1690397989
136,bayganin,48.6947,55.8742,25.54,42,0,3.81,KZ,1690398171
137,iwata,34.7,137.85,27.03,74,94,1.06,JP,1690398171
138,alta,69.9689,23.2717,17.59,74,0,4.47,NO,1690398171
139,vilyuchinsk,52.9306,158.4028,13.15,83,100,1.3,RU,1690398172
140,usinsk,65.9939,57.5281,14.92,92,83,2.75,RU,1690397734
141,takayama,36.1333,137.25,20.23,97,100,0.42,JP,1690398172
142,natal,-5.795,-35.2094,29.36,61,20,8.23,BR,1690398026
143,dellys,36.9172,3.9131,26.19,73,0,7.37,DZ,1690398172
144,turbat,26.0023,63.044,29.87,73,100,3.43,PK,1690398172
145,sharkan,57.2989,53.8712,16.55,79,6,0.93,RU,1690398172
146,mahina,-17.5065,-149.489,25.87,83,75,3.09,PF,1690397753
147,neiafu,-18.65,-173.9833,19.38,94,75,0.0,TO,1690397746
148,augusta,48.3667,10.8833,14.17,94,75,2.57,DE,1690398084
149,piacabucu,-10.4056,-36.4344,25.79,74,8,3.65,BR,1690398172
150,zapolyarnyy,69.4154,30.8136,9.6,89,95,1.79,RU,1690398173
151,inari,68.906,27.0288,14.11,85,67,1.12,FI,1690397767
152,baruun-urt,46.6806,113.2792,17.23,69,0,2.62,MN,1690397771
153,port saint john's,-31.6229,29.5448,19.44,53,77,3.22,ZA,1690398173
154,santa cruz,-17.8,-63.1667,21.03,52,75,6.17,BO,1690398106
155,yung shue wan,22.2333,114.1167,33.09,72,76,3.36,HK,1690398173
156,kuching,1.55,110.3333,26.66,93,20,1.54,MY,1690397761
157,olonkinbyen,70.9221,-8.7187,4.85,92,100,5.83,SJ,1690398173
158,miracema do tocantins,-9.5618,-48.3967,36.24,19,72,1.79,BR,1690398173
159,nema,57.5067,50.5011,17.42,88,100,2.64,RU,1690398174
160,ust-nera,64.5667,143.2,10.86,85,89,3.08,RU,1690398174
161,bamboo flat,11.7,92.7167,28.05,83,40,2.06,IN,1690398115
162,ulanhot,46.0833,122.0833,22.15,91,100,1.76,CN,1690397722
163,jean-rabel,19.8533,-73.1917,31.54,62,100,8.2,HT,1690398174
164,alo,7.4178,6.7371,26.24,85,81,2.19,NG,1690398174
165,kodiak,57.79,-152.4072,12.29,92,100,1.18,US,1690398174
166,puerto madero,14.7208,-92.4215,30.31,69,10,3.32,MX,1690397737
167,colonia,50.9333,6.95,21.01,52,0,2.06,DE,1690398175
168,marsh harbour,26.5412,-77.0636,29.16,71,100,5.81,BS,1690398175
169,broome,42.2506,-75.833,31.12,49,89,3.13,US,1690398175
170,qamdo,31.1667,97.2333,3.09,88,4,2.61,CN,1690398175
171,tual,-5.6667,132.75,25.89,81,100,9.41,ID,1690398177
172,aykhal,66.0,111.5,15.11,72,100,2.39,RU,1690398177
173,tuensang,26.2833,94.8333,21.7,98,100,0.77,IN,1690398177
174,naze,28.3667,129.4833,26.51,83,100,5.76,JP,1690397790
175,ahmadpur sial,30.6754,71.7483,32.33,59,98,2.56,PK,1690398178
176,laguna,38.421,-121.4238,34.06,44,0,4.63,US,1690398178
177,puerto colombia,10.9878,-74.9547,34.05,81,100,3.87,CO,1690398164
178,val-d'or,48.1002,-77.7828,23.05,53,75,6.17,CA,1690398009
179,beitbridge,-22.2167,30.0,18.53,51,0,4.47,ZW,1690398179
180,san julian,21.0167,-102.1667,23.48,48,94,2.91,MX,1690397751
181,georgievka,49.3314,81.5761,21.48,36,88,1.39,KZ,1690398179
182,vernal,40.4555,-109.5287,31.48,25,1,1.34,US,1690398005
183,nemuro,43.3236,145.575,14.71,100,100,0.81,JP,1690398068
184,geraldton,-28.7667,114.6,10.23,93,75,3.09,AU,1690398179
185,kapuskasing,49.4169,-82.4331,21.05,73,100,2.57,CA,1690398180
186,hasaki,35.7333,140.8333,25.73,89,23,3.41,JP,1690398180
187,dudinka,69.4058,86.1778,19.79,75,7,3.18,RU,1690398180
188,nelson bay,-32.7167,152.15,11.11,98,0,2.68,AU,1690397766
189,the pas,53.8251,-101.2541,14.01,94,100,2.57,CA,1690398181
190,hermanus,-34.4187,19.2345,10.45,94,20,3.44,ZA,1690398078
191,xunchang,28.4543,104.715,22.88,96,100,0.64,CN,1690398181
192,sikonge,-5.6333,32.7667,20.28,32,18,3.18,TZ,1690398182
193,amahai,-3.3333,128.9167,26.16,90,52,1.35,ID,1690398182
194,portland,45.5234,-122.6762,25.85,54,0,3.09,US,1690397956
195,ulan-ude,51.8261,107.6098,15.94,87,20,0.0,RU,1690398183
196,hithadhoo,-0.6,73.0833,28.51,78,75,7.65,MV,1690398183
197,haapsalu,58.9431,23.5414,17.23,79,14,5.36,EE,1690398183
198,salalah,17.0151,54.0924,26.05,89,100,4.12,OM,1690397776
199,kawalu,-7.3817,108.2082,20.19,91,97,0.81,ID,1690398183
200,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,20,1.0,RU,1690398160
201,bandundu,-3.3167,17.3667,29.86,35,51,0.21,CD,1690398183
202,tura,25.5198,90.2201,23.8,97,100,2.39,IN,1690398184
203,tumpat,6.1978,102.171,23.99,94,20,2.06,MY,1690398184
204,okhotsk,59.3833,143.3,14.4,97,100,2.14,RU,1690398184
205,lebu,-37.6167,-73.65,10.8,73,100,2.95,CL,1690398184
206,bubaque,11.2833,-15.8333,27.51,81,64,6.37,GW,1690398184
207,victorica,-36.2151,-65.4359,13.89,33,67,4.91,AR,1690398184
208,embalenhle,-26.5333,29.0667,10.31,76,0,2.92,ZA,1690398185
209,trairi,-3.2778,-39.2689,28.95,61,6,6.97,BR,1690398185
210,santiago de cao,-7.9589,-79.2392,24.07,69,75,4.63,PE,1690398185
211,arraial do cabo,-22.9661,-42.0278,21.92,88,75,9.26,BR,1690398180
212,boguchany,58.3814,97.4531,15.94,97,100,1.22,RU,1690398186
213,aoulef,26.9667,1.0833,42.69,11,41,4.16,DZ,1690397782
214,sur,22.5667,59.5289,29.04,71,100,5.68,OM,1690398186
215,zhob,31.3411,69.4481,24.68,71,5,2.03,PK,1690398103
216,mukalla,14.5425,49.1242,31.63,56,22,0.88,YE,1690398186
217,mugia,43.1041,-9.2179,22.73,83,14,5.96,ES,1690398186
218,salair,54.2312,85.7972,15.19,71,28,1.82,RU,1690398186
219,nouadhibou,20.931,-17.0347,23.99,73,59,8.75,MR,1690397724
220,constantia,44.1833,28.65,24.38,76,33,3.5,RO,1690398186
221,ierapetra,35.01,25.7353,30.08,72,0,0.45,GR,1690398186
222,firmat,-33.4594,-61.4832,17.17,34,0,6.54,AR,1690398188
223,sitka,57.0531,-135.33,14.94,88,100,2.06,US,1690398008
224,kalabo,-14.97,22.6814,18.46,33,0,1.72,ZM,1690398188
225,ribeira brava,32.65,-17.0667,25.0,74,55,1.47,PT,1690398188
226,belmonte,-15.8631,-38.8828,24.75,68,43,3.13,BR,1690398188
227,gadzhiyevo,69.2551,33.3362,10.3,97,100,2.54,RU,1690398189
228,richmond,37.5538,-77.4603,34.55,58,40,2.57,US,1690397500
229,betio village,1.358,172.9211,27.02,79,96,1.61,KI,1690398189
230,nar'yan-mar,67.6713,53.087,17.19,71,82,2.06,RU,1690398189
231,'ain benian,36.8028,2.9219,29.03,72,0,7.26,DZ,1690398190
232,tchaourou,8.8865,2.5975,24.72,87,89,1.98,BJ,1690398190
233,egilsstadir,65.2653,-14.3948,8.95,76,75,6.17,IS,1690398190
234,maputo,-25.9653,32.5892,18.82,77,0,6.26,MZ,1690398008
235,rio grande,-32.035,-52.0986,18.06,88,100,7.82,BR,1690397955
236,dunedin,-45.8742,170.5036,7.11,64,69,4.47,NZ,1690397763
237,fleetwood,53.9253,-3.0109,15.02,94,75,6.17,GB,1690398190
238,anadyr,64.75,177.4833,11.28,87,75,4.0,RU,1690398191
239,reggane,26.7158,0.1714,42.82,11,88,5.47,DZ,1690398191
240,fort st. john,56.2499,-120.8529,13.94,94,100,5.66,CA,1690398005
241,al hazm,16.1641,44.7769,32.12,29,21,4.69,YE,1690398191
242,caleta de carquin,-11.0925,-77.6267,21.89,70,11,5.14,PE,1690398191
243,carnot,4.9409,15.8665,21.01,96,96,0.71,CF,1690398191
244,asyut,27.181,31.1837,37.1,17,67,4.65,EG,1690398191
245,onokhoy,51.932,108.0747,15.86,89,100,1.8,RU,1690398192
246,villa gesell,-37.2639,-56.973,12.81,76,9,9.34,AR,1690398192
247,selfoss,63.9331,-20.9971,17.25,65,100,3.39,IS,1690398185
248,inirida,3.8653,-67.9239,32.36,53,37,0.35,CO,1690398192
249,tazovsky,67.4667,78.7,15.63,77,10,4.25,RU,1690398192
250,kidal,18.4411,1.4078,36.89,24,95,4.96,ML,1690398192
251,kailua-kona,19.6406,-155.9956,29.77,81,4,1.79,US,1690398063
252,destin,30.3935,-86.4958,35.08,53,0,4.12,US,1690398193
253,krasnokamensk,50.0979,118.0369,16.87,88,100,3.04,RU,1690398193
254,vila franca do campo,37.7167,-25.4333,24.23,71,63,2.5,PT,1690397750
255,remire-montjoly,4.9167,-52.2667,27.02,83,5,1.54,GF,1690398193
256,yelizovo,53.1873,158.3805,13.08,100,20,1.0,RU,1690398193
257,pointe-noire,-4.7761,11.8635,21.35,91,12,3.45,CG,1690398194
258,brezovica,46.0333,14.4,15.36,90,93,0.93,SI,1690398194
259,stephenville,32.2207,-98.2023,38.2,28,40,4.63,US,1690398015
260,ulysses,37.5814,-101.3552,35.89,38,0,2.57,US,1690398194
261,khon buri,14.5254,102.2459,24.0,93,100,2.74,TH,1690398194
262,ghadamis,30.1337,9.5007,38.35,8,0,2.68,LY,1690398194
263,la'ie,21.6477,-157.9253,27.98,70,57,7.38,US,1690397754
264,balabac,7.9868,117.0645,28.47,77,100,7.71,PH,1690398195
265,pyt-yakh,60.7499,72.8582,16.18,94,100,2.64,RU,1690398195
266,morant bay,17.8815,-76.4093,34.84,72,100,5.41,JM,1690398195
267,enewetak,11.3474,162.3373,28.12,74,82,6.53,MH,1690398195
268,la ronge,55.1001,-105.2842,15.14,82,100,3.6,CA,1690398106
269,kudahuvadhoo,2.6708,72.8944,28.37,75,68,3.99,MV,1690397779
270,gwaram,11.2764,9.8858,30.75,40,100,3.04,NG,1690398196
271,queenstown,-31.8976,26.8753,14.39,51,98,2.04,ZA,1690398196
272,klyuchi,52.2667,79.1667,22.92,35,100,3.33,RU,1690398196
273,puerto baquerizo moreno,-0.9,-89.6,27.55,74,20,6.69,EC,1690398196
274,grand-lahou,5.1367,-5.0242,24.52,92,94,2.38,CI,1690398143
275,ust-tsilma,65.441,52.1498,14.41,88,14,1.02,RU,1690397724
276,anatuya,-28.4606,-62.8347,20.8,34,5,5.3,AR,1690398147
277,tweed heads,-28.1817,153.547,13.33,82,75,1.54,AU,1690398196
278,revda,56.801,59.9303,14.28,93,51,1.53,RU,1690398197
279,kourou,5.1552,-52.6478,27.03,67,21,3.61,GF,1690398197
280,alice springs,-23.7,133.8833,12.75,67,100,0.0,AU,1690398197
281,korce,40.6186,20.7808,17.91,67,0,2.37,AL,1690398031
